,Index,Member_ID,Sales_Type,Contract_Type,Channel,Datetime,Term,Payment_Type,Product_Type,Amount_Month,Customer_Type,Age,Address1,Address2,State,Overdue_count,Overdue_Type,Gender,Credit_Rank,Bank
23,24,66758074,렌탈,일반계약,영업방판,2019-01-01,60,CMS,DES-2,87900, 개인,,충청도,충청도,계약확정,0,없음,여자,1.0,농협중앙회
24,25,66755833,렌탈,패키지계약,전문매장Z,2019-01-21,60,CMS,DES-1,134700, 개인,40.0,충청도,충청도,계약확정,0,없음,여자,7.0,우체국
25,26,66755833,렌탈,패키지계약,전문매장Z,2019-01-29,60,CMS,DES-2,89400, 개인,40.0,충청도,충청도,계약확정,0,없음,여자,7.0,우체국
26,27,66422938,멤버십,멤버십3유형,재계약,2019-02-12,12,CMS,DES-1,66900, 개인,73.0,강원도,강원도,계약확정,0,없음,여자,2.0,신한은행
27,28,66755125,렌탈,프로모션계약,홈쇼핑/방송,2019-02-24,60,카드이체,DES-1,105900, 개인,50.0,경기도,경기도,계약확정,0,없음,여자,1.0,롯데카드
28,29,66422513,멤버십,멤버십3유형,재계약,2019-03-15,12,CMS,DES-1,66900, 개인,48.0,경기도,경기도,계약확정,0,없음,여자,2.0,농협회원조합
29,30,66419239,렌탈,교체계약,영업방판,2019-04-08,60,CMS,DES-1,96900, 개인,38.0,경기도,경기도,계약확정,0,없음,여자,,국민은행
30,31,25702131,멤버십,멤버십3유형,재계약,2019-04-28,12,CMS,DES-1,66900, 사업자,,경기도,경기도,계약확정,0,없음,여자,,기업은행
31,32,66422449,멤버십,멤버십3유형,재계약,2019-05-31,12,CMS,DES-1,66900, 개인,51.0,경기도,경기도,계약확정,0,없음,여자,1.0,농협중앙회
32,33,25742841,렌탈,프로모션계약,영업방판,2019-08-10,60,CMS,DES-1,142200, 사업자,57.0,경기도,경기도,계약확정,0,없음,여자,,농협회원조합
33,34,66758615,렌탈,프로모션계약,대형마트H,2019-08-21,60,CMS,DES-1,96900, 개인,48.0,서울특별시,서울특별시,계약확정,0,없음,남자,7.0,농협중앙회
34,35,66758778,렌탈,일반계약,홈쇼핑/방송,2019-09-03,60,CMS,DES-1,96900, 개인,59.0,서울특별시,서울특별시,계약확정,0,없음,여자,5.0,우리은행
35,36,25742683,렌탈,프로모션계약,대형마트E,2019-10-05,60,CMS,DES-3A,102900, 사업자,48.0,서울특별시,서울특별시,계약확정,0,없음,여자,,신한은행
36,37,66127796,렌탈,프로모션계약,영업방판,2019-11-26,60,CMS,DES-2,90900, 개인,43.0,서울특별시,서울특별시,계약확정,0,없음,여자,1.0,우리은행
37,38,25851817,멤버십,멤버십3유형,재계약,2020-01-23,12,CMS,DES-1,96600, 사업자,,서울특별시,서울특별시,해약확정,0,없음,여자,,국민은행
38,39,66528773,렌탈,일반계약,홈쇼핑/방송,2020-04-11,60,CMS,DES-1,96900, 개인,48.0,서울특별시,서울특별시,계약확정,0,없음,남자,3.0,국민은행
39,40,25742687,렌탈,프로모션계약,영업방판,2020-07-24,60,CMS,DES-1,142200, 사업자,63.0,서울특별시,서울특별시,계약확정,0,없음,여자,,SC제일은행
40,41,25742687,렌탈,일반계약,영업방판,2019-06-18,60,CMS,DES-2,96900, 사업자,63.0,서울특별시,서울특별시,계약확정,0,없음,여자,,SC제일은행
41,42,25742687,렌탈,일반계약,영업방판,2019-08-02,60,CMS,DES-2,96900, 사업자,63.0,서울특별시,서울특별시,계약확정,0,없음,여자,,SC제일은행
